,SettlementPoint,Year,Month,AveragePrice
447,LZ_LCRA,2017,4,24.477416666666684
448,LZ_LCRA,2017,5,25.637956989247325
449,LZ_LCRA,2017,6,28.639083333333343
450,LZ_LCRA,2017,7,31.905712365591352
451,LZ_LCRA,2017,8,27.678010752688152
452,LZ_LCRA,2017,9,24.813430555555563
453,LZ_LCRA,2017,10,24.484260752688193
454,LZ_LCRA,2017,11,23.047124999999994
455,LZ_LCRA,2017,12,21.11766129032256
456,LZ_LCRA,2018,1,38.99256720430111
457,LZ_LCRA,2018,2,21.76224702380953
458,LZ_LCRA,2018,3,22.051305518169595
459,LZ_LCRA,2018,4,22.644027777777783
460,LZ_LCRA,2018,5,34.73540322580648
461,LZ_LCRA,2018,6,30.365555555555577
462,LZ_LCRA,2018,7,79.06994623655915
463,LZ_LCRA,2018,8,31.807970430107524
464,LZ_LCRA,2018,9,27.18726388888886
465,LZ_LCRA,2018,10,30.06987903225809
466,LZ_LCRA,2018,11,30.515805555555563
467,LZ_LCRA,2018,12,30.582661290322633
468,LZ_LCRA,2019,1,24.936303763440858
469,LZ_LCRA,2019,2,21.66697916666667
470,LZ_LCRA,2019,3,27.649313593539745
471,LZ_LCRA,2019,4,23.31476388888888
472,LZ_LCRA,2019,5,24.50868279569892
473,LZ_LCRA,2019,6,24.51954166666666
474,LZ_LCRA,2019,7,29.74791666666666
475,LZ_LCRA,2019,8,126.67076612903215
476,LZ_LCRA,2019,9,82.46723611111106
477,LZ_LCRA,2019,10,29.015806451612917
478,LZ_LCRA,2019,11,24.485222222222248
479,LZ_LCRA,2019,12,19.456881720430097
480,LZ_NORTH,2016,1,19.187997311827974
481,LZ_NORTH,2016,2,15.46221264367817
482,LZ_NORTH,2016,3,17.461507402422594
483,LZ_NORTH,2016,4,19.08763888888888
484,LZ_NORTH,2016,5,18.182889784946234
485,LZ_NORTH,2016,6,23.562680555555552
486,LZ_NORTH,2016,7,27.415779569892457
487,LZ_NORTH,2016,8,30.148575268817243
488,LZ_NORTH,2016,9,26.605861111111107
489,LZ_NORTH,2016,10,24.532661290322583
490,LZ_NORTH,2016,11,18.830513888888877
491,LZ_NORTH,2016,12,25.28624999999999
492,LZ_NORTH,2017,1,23.603024193548404
493,LZ_NORTH,2017,2,19.550014880952375
494,LZ_NORTH,2017,3,21.839407806191105
495,LZ_NORTH,2017,4,21.975805555555546
496,LZ_NORTH,2017,5,24.557513440860216
497,LZ_NORTH,2017,6,26.893736111111114
498,LZ_NORTH,2017,7,31.186841397849467
499,LZ_NORTH,2017,8,27.060362903225812
500,LZ_NORTH,2017,9,23.968402777777758
501,LZ_NORTH,2017,10,21.938427419354845
502,LZ_NORTH,2017,11,22.263166666666674
503,LZ_NORTH,2017,12,21.4081317204301
504,LZ_NORTH,2018,1,37.728521505376335
505,LZ_NORTH,2018,2,21.84046130952379
506,LZ_NORTH,2018,3,22.640551816958272
507,LZ_NORTH,2018,4,24.36688888888891
508,LZ_NORTH,2018,5,37.451881720430116
509,LZ_NORTH,2018,6,31.301611111111136
510,LZ_NORTH,2018,7,79.84618279569887
511,LZ_NORTH,2018,8,31.97158602150531
512,LZ_NORTH,2018,9,27.885847222222214
513,LZ_NORTH,2018,10,31.64541666666666
514,LZ_NORTH,2018,11,31.97412499999999
515,LZ_NORTH,2018,12,31.131948924731233
516,LZ_NORTH,2019,1,24.36783602150537
517,LZ_NORTH,2019,2,20.85114583333333
518,LZ_NORTH,2019,3,28.594037685060574
519,LZ_NORTH,2019,4,23.718430555555557
520,LZ_NORTH,2019,5,24.011451612903222
521,LZ_NORTH,2019,6,25.20791666666667
522,LZ_NORTH,2019,7,29.834946236559162
523,LZ_NORTH,2019,8,126.60091397849466
524,LZ_NORTH,2019,9,80.7741527777778
525,LZ_NORTH,2019,10,28.732943548387126
526,LZ_NORTH,2019,11,24.153611111111104
527,LZ_NORTH,2019,12,19.006801075268804
528,LZ_RAYBN,2016,1,19.447943548387116
529,LZ_RAYBN,2016,2,15.400431034482773
530,LZ_RAYBN,2016,3,17.11724091520861
531,LZ_RAYBN,2016,4,18.855361111111097
532,LZ_RAYBN,2016,5,18.320994623655913
533,LZ_RAYBN,2016,6,23.315944444444447
534,LZ_RAYBN,2016,7,27.471075268817224
535,LZ_RAYBN,2016,8,30.149758064516142
536,LZ_RAYBN,2016,9,26.470263888888894
537,LZ_RAYBN,2016,10,24.452513440860198
538,LZ_RAYBN,2016,11,18.87531944444443
539,LZ_RAYBN,2016,12,25.31955645161287
540,LZ_RAYBN,2017,1,23.39010752688172
541,LZ_RAYBN,2017,2,20.36915178571431
542,LZ_RAYBN,2017,3,21.90716016150739
543,LZ_RAYBN,2017,4,22.21343055555554
544,LZ_RAYBN,2017,5,24.001330645161307
545,LZ_RAYBN,2017,6,26.125041666666643
546,LZ_RAYBN,2017,7,30.760497311827933
547,LZ_RAYBN,2017,8,26.824825268817232
548,LZ_RAYBN,2017,9,23.535680555555558
549,LZ_RAYBN,2017,10,21.379932795698938
550,LZ_RAYBN,2017,11,21.82918055555556
551,LZ_RAYBN,2017,12,21.31260752688172
552,LZ_RAYBN,2018,1,39.37014784946231
553,LZ_RAYBN,2018,2,22.403169642857126
554,LZ_RAYBN,2018,3,23.805706594885592
555,LZ_RAYBN,2018,4,27.19887500000002
556,LZ_RAYBN,2018,5,40.951250000000016
557,LZ_RAYBN,2018,6,31.945583333333342
558,LZ_RAYBN,2018,7,84.90190860215051
559,LZ_RAYBN,2018,8,32.51872311827957
560,LZ_RAYBN,2018,9,27.680888888888877
561,LZ_RAYBN,2018,10,30.624959677419376
562,LZ_RAYBN,2018,11,33.45244444444446
563,LZ_RAYBN,2018,12,31.55353494623656
564,LZ_RAYBN,2019,1,24.411491935483873
565,LZ_RAYBN,2019,2,21.066279761904763
566,LZ_RAYBN,2019,3,29.809798115747
567,LZ_RAYBN,2019,4,24.998305555555564
568,LZ_RAYBN,2019,5,24.788158602150553
569,LZ_RAYBN,2019,6,25.458513888888895
570,LZ_RAYBN,2019,7,30.02971774193554
571,LZ_RAYBN,2019,8,126.89788978494644
572,LZ_RAYBN,2019,9,80.69863888888884
573,LZ_RAYBN,2019,10,28.554381720430126
574,LZ_RAYBN,2019,11,24.517569444444426
575,LZ_RAYBN,2019,12,19.08506720430106
